"Date","Province","Recovered"
2020-06-25,"UNKNOWN",0
2020-06-26,"UNKNOWN",0
2020-06-27,"UNKNOWN",0
2020-06-28,"UNKNOWN",0
2020-06-29,"UNKNOWN",0
2020-06-30,"UNKNOWN",0
2020-07-01,"UNKNOWN",0
2020-07-02,"UNKNOWN",0
2020-07-03,"UNKNOWN",0
2020-07-04,"UNKNOWN",0
2020-07-05,"UNKNOWN",0
2020-07-06,"UNKNOWN",0
2020-07-07,"UNKNOWN",0
2020-07-08,"UNKNOWN",0
2020-07-09,"UNKNOWN",0
2020-07-10,"UNKNOWN",0
2020-07-11,"UNKNOWN",0
2020-07-12,"UNKNOWN",0
2020-07-13,"UNKNOWN",0
2020-07-14,"UNKNOWN",0
2020-07-15,"UNKNOWN",0
2020-07-16,"UNKNOWN",0
2020-07-17,"UNKNOWN",0
2020-07-18,"UNKNOWN",0
2020-07-19,"UNKNOWN",0
2020-07-20,"UNKNOWN",0
2020-07-21,"UNKNOWN",0
2020-07-22,"UNKNOWN",0
2020-07-23,"UNKNOWN",0
2020-07-24,"UNKNOWN",0
2020-07-25,"UNKNOWN",0
2020-07-26,"UNKNOWN",0
2020-07-27,"UNKNOWN",0
2020-07-28,"UNKNOWN",0
2020-07-29,"UNKNOWN",0
2020-07-30,"UNKNOWN",0
2020-07-31,"UNKNOWN",0
2020-08-01,"UNKNOWN",0
2020-08-02,"UNKNOWN",0
2020-08-03,"UNKNOWN",0
2020-08-04,"UNKNOWN",0
2020-08-05,"UNKNOWN",0
